Mes_Año,Guerrero,CDMX,Oaxaca,Puebla
01/06/2015,3.645774648,1.8,3.728977273,3
01/07/2015,3.66402439,2,3.713253012,2.62
01/08/2015,3.587283237,2.3,3.639130435,3.5
01/09/2015,3.662237762,1.9,3.632038835,2.533333333
01/10/2015,3.575739645,1.9,3.592307692,3.32
01/11/2015,3.577619048,,3.624503311,3.9
01/12/2015,3.565641026,,3.62,3.5
01/01/2016,3.53196347,,3.615282392,3.8
01/02/2016,3.55915493,,3.597520661,3.425
01/03/2016,3.55619469,,3.602906977,3.85
01/04/2016,3.517182131,,3.546205357,3.242857143
01/05/2016,3.514855072,,3.493984962,3.35
01/06/2016,3.532051282,,3.521821306,3.533333333
01/07/2016,3.433727811,,3.453731343,3.516666667
01/08/2016,3.548710602,1.9,3.512451362,3.385714286
01/09/2016,3.485098039,,3.546823529,3.575
01/10/2016,3.47694704,,3.525396825,3.414285714
01/11/2016,3.503010033,2.1,3.486764706,3.25
01/12/2016,3.594805195,,3.544785276,3.533333333
01/01/2017,3.543243243,,3.50020284,3.428571429
01/02/2017,3.618148148,2.4,3.58,3.25
01/03/2017,3.59020979,2.075,3.560945709,3.4
01/04/2017,3.573493976,,3.553107345,3.4
01/05/2017,3.551736111,2.6,3.537712895,3.546153846
01/06/2017,3.520816327,2.4,3.556359102,3.25
01/07/2017,3.482903226,1.7,3.538875878,3.3
01/08/2017,3.575549451,,3.56350211,3.625
01/09/2017,3.593617021,1.766666667,3.850340798,3.542105263
01/10/2017,3.592118227,1.975,3.794020456,3.4625
01/11/2017,3.519435737,1.62,3.696201283,3.507142857
01/12/2017,3.578635015,2.5,3.689859438,3.214285714
01/01/2018,3.514285714,,3.664334365,3.3
01/02/2018,3.345783133,3.3,3.225661451,3.55
01/03/2018,3.573529412,3.3,3.492131008,3.4
01/04/2018,3.572985782,,3.565529623,3.485714286
01/05/2018,3.563076923,2.9,3.579628483,3.533333333
01/06/2018,3.607089552,2.34,3.606037515,3.5
01/07/2018,3.508394161,2.02,3.568212416,3.575
01/08/2018,3.532720588,,3.608861789,3.366666667
01/09/2018,3.607563025,1.925,3.613922764,3.45
01/10/2018,3.5875,2.1,3.645820745,3.392857143
01/11/2018,3.536,2.8,3.571127273,3.319047619
01/12/2018,3.54742268,2.2,3.590368455,3.223529412
01/01/2019,3.536448598,1.5,3.595732839,3.115384615
01/02/2019,3.517687075,,3.564597701,3.55
01/03/2019,3.529503916,2.2,3.554022989,3.43
01/04/2019,3.528424658,,3.590869183,3.244444444
01/05/2019,3.528915663,1.233333333,3.617711443,3.154545455
01/06/2019,3.573314607,1.85,3.568939394,3.466666667
01/07/2019,3.500847458,2.195833333,3.568535262,3.4
01/08/2019,3.510972569,2.2,3.534980989,3.37
01/09/2019,3.534210526,2.525,3.612618297,3.35
01/10/2019,3.620099256,2.2,3.635964199,3.4
01/11/2019,3.507165109,2.7,3.580487805,3.3
01/12/2019,3.478604651,1.966666667,3.546106195,3.3
01/01/2020,3.538095238,2.6,3.550465549,3.395238095
01/02/2020,3.50543131,,3.535168447,3.625
01/03/2020,3.510854503,,3.549427313,3.226666667
01/04/2020,3.525340599,,3.569690927,3.528571429
01/05/2020,3.504644809,,3.580404686,3.25
01/06/2020,3.500302115,2.32,3.648901624,3.342857143
01/07/2020,3.499705015,1.966666667,3.714102564,3.3
01/08/2020,3.519942197,,3.686822529,3.366666667
01/09/2020,3.517482517,1.7,3.678953771,3.383333333
01/10/2020,3.53993808,,3.69004329,3.388888889
01/11/2020,3.511009174,1.5,3.587706612,3.33
01/12/2020,3.513636364,,3.581626506,3.225
01/01/2021,3.492324561,,3.578904992,3.383333333
01/02/2021,3.477325581,,3.556908905,3.485714286
01/03/2021,3.474871795,,3.579098361,3.2
01/04/2021,3.548623853,2,3.655473555,3.327272727
01/05/2021,3.478369906,1.6,3.52625,3.369230769
01/06/2021,3.388560886,,3.541337386,3.45
01/07/2021,3.464516129,2.566666667,3.55254491,3.447058824
01/08/2021,3.475490196,1.9,3.538461538,3.1875
01/09/2021,3.370301418,,3.510810811,3.375
01/10/2021,3.393782383,1,3.581669151,3.01
01/11/2021,3.377870564,1.725,3.531374853,3.057142857
01/12/2021,3.367221298,2,3.515672515,3.147058824
01/01/2022,3.397849462,1.58,3.556679151,3.188235294
01/02/2022,3.399287411,1.016666667,3.52200489,3.35
01/03/2022,3.416309013,1.4,3.556145251,3.2
01/04/2022,3.445351474,1.8,3.580615735,3.27
01/05/2022,3.45010395,1.48,3.552811736,3.36
01/06/2022,3.409856263,1.8,3.554860186,3.43
01/07/2022,3.460666667,1.5,3.593993506,3.3125
01/08/2022,3.4849642,3.2,3.609917355,3.163636364
01/09/2022,3.427058824,,3.584532374,3.3625
01/10/2022,3.493406593,,3.523299566,3.3
01/11/2022,3.511743772,,3.599844961,3.377777778
01/12/2022,3.490933333,1.533333333,3.562706767,3.392307692
01/01/2023,3.522546419,1.2,3.601062215,3.523076923
01/02/2023,3.531048387,1.544444444,3.582204724,3.4
01/03/2023,3.495490716,1.675,3.617043478,3.433333333
